,symbol,signal,potential_fill_price,order_type,priority,risk_adjuster,Date,market,status
0,TSLA,-1,349.98,MOO,3,0.0017761960542540707,2025-05-19,US-Equity-SNP,pending
1,JNJ,1,151.33,MOO,6,0.06053740580641045,2025-05-19,US-Equity-SNP,pending
2,AMD,-1,117.17,MOO,6,0.0020305837503787633,2025-05-19,US-Equity-SNP,pending
3,MO,1,58.89,MOO,1,0.11530472107457654,2025-05-19,US-Equity-SNP,pending
4,VFC,-1,14.78,MOO,0,0.0016201597507217898,2025-05-19,US-Equity-SNP,pending
5,AMT,1,213.38,MOO,0,0.33810583874920197,2025-05-19,US-Equity-SNP,pending
6,MDLZ,1,65.32,MOO,5,0.061840012774697695,2025-05-19,US-Equity-SNP,pending
7,MCHP,-1,61.21,MOO,1,0.0016459440638803245,2025-05-19,US-Equity-SNP,pending
8,AEP,1,103.04,MOO,9,0.05323063965990658,2025-05-19,US-Equity-SNP,pending
9,ON,-1,44.92,MOO,5,0.001962621676395125,2025-05-19,US-Equity-SNP,pending
10,HSY,1,158.49,MOO,3,0.07787293592311649,2025-05-19,US-Equity-SNP,pending
11,SBAC,1,233.08,MOO,7,0.05662601232024716,2025-05-19,US-Equity-SNP,pending
12,MPWR,-1,715.4,MOO,2,0.0017283359864567395,2025-05-19,US-Equity-SNP,pending
13,K,1,82.3,MOO,2,0.10100513767859402,2025-05-19,US-Equity-SNP,pending
14,CAG,1,22.98,MOO,8,0.055117827363089955,2025-05-19,US-Equity-SNP,pending
15,UAL,-1,77.93,MOO,4,0.0018750787607072137,2025-05-19,US-Equity-SNP,pending
16,APA,-1,17.59,MOO,8,0.0020485227160857884,2025-05-19,US-Equity-SNP,pending
17,QRVO,-1,79.64,MOO,7,0.0020426390112013343,2025-05-19,US-Equity-SNP,pending
18,HRL,1,30.53,MOO,4,0.06362938688007796,2025-05-19,US-Equity-SNP,pending
