,symbol,signal,potential_fill_price,order_type,priority,risk_adjuster,Date,market,status
0,NVDA,-1,130,MOO,6,0.05,2024-08-20,US-Equity-SNP,pending
1,TSLA,-1,222.72,MOO,9,0.05,2024-08-20,US-Equity-SNP,pending
2,AVGO,-1,167.71,MOO,0,0.05,2024-08-20,US-Equity-SNP,pending
3,INTC,-1,21.52,MOO,2,0.05,2024-08-20,US-Equity-SNP,pending
4,MMM,1,127.08,MOO,6,0.05,2024-08-20,US-Equity-SNP,pending
5,UHS,1,227.52,MOO,9,0.05,2024-08-20,US-Equity-SNP,pending
6,NCLH,-1,16.14,MOO,5,0.05,2024-08-20,US-Equity-SNP,pending
7,BMY,1,49.3,MOO,0,0.05,2024-08-20,US-Equity-SNP,pending
8,QCOM,-1,174.26,MOO,7,0.05,2024-08-20,US-Equity-SNP,pending
9,MCHP,-1,82.03,MOO,3,0.05,2024-08-20,US-Equity-SNP,pending
10,DXCM,1,77.69,MOO,2,0.05,2024-08-20,US-Equity-SNP,pending
11,CNC,1,78.3,MOO,1,0.05,2024-08-20,US-Equity-SNP,pending
12,EXC,1,37.61,MOO,3,0.05,2024-08-20,US-Equity-SNP,pending
13,MPWR,-1,917.21,MOO,4,0.05,2024-08-20,US-Equity-SNP,pending
14,HPE,-1,18.88,MOO,1,0.05,2024-08-20,US-Equity-SNP,pending
15,MOH,1,346.18,MOO,7,0.05,2024-08-20,US-Equity-SNP,pending
16,TER,-1,133.98,MOO,8,0.05,2024-08-20,US-Equity-SNP,pending
17,K,1,80.26,MOO,5,0.05,2024-08-20,US-Equity-SNP,pending
18,HSIC,1,69.82,MOO,4,0.05,2024-08-20,US-Equity-SNP,pending
19,SEDG,1,27.53,MOO,8,0.05,2024-08-20,US-Equity-SNP,pending
