,symbol,signal,potential_fill_price,order_type,priority,risk_adjuster,Date,market,status
0,NVDA,-1,123.74,MOO,5,0.05,2024-08-23,US-Equity-SNP,pending
1,TSLA,-1,210.66,MOO,9,0.05,2024-08-23,US-Equity-SNP,pending
2,AVGO,-1,162.34,MOO,0,0.05,2024-08-23,US-Equity-SNP,pending
3,INTC,-1,20.1,MOO,1,0.05,2024-08-23,US-Equity-SNP,pending
4,MMM,1,128.6,MOO,7,0.05,2024-08-23,US-Equity-SNP,pending
5,NCLH,-1,16.24,MOO,4,0.05,2024-08-23,US-Equity-SNP,pending
6,MHK,1,149.88,MOO,6,0.05,2024-08-23,US-Equity-SNP,pending
7,CHRW,1,101.33,MOO,1,0.05,2024-08-23,US-Equity-SNP,pending
8,NEE,1,78.92,MOO,8,0.05,2024-08-23,US-Equity-SNP,pending
9,SBUX,-1,92.43,MOO,7,0.05,2024-08-23,US-Equity-SNP,pending
10,QCOM,-1,169.0,MOO,6,0.05,2024-08-23,US-Equity-SNP,pending
11,D,1,56.44,MOO,2,0.05,2024-08-23,US-Equity-SNP,pending
12,MCHP,-1,79.78,MOO,3,0.05,2024-08-23,US-Equity-SNP,pending
13,AFL,1,106.61,MOO,0,0.05,2024-08-23,US-Equity-SNP,pending
14,EIX,1,84.37,MOO,3,0.05,2024-08-23,US-Equity-SNP,pending
15,LW,-1,62.41,MOO,2,0.05,2024-08-23,US-Equity-SNP,pending
16,TER,-1,131.2,MOO,8,0.05,2024-08-23,US-Equity-SNP,pending
17,LNT,1,57.87,MOO,5,0.05,2024-08-23,US-Equity-SNP,pending
18,NI,1,32.57,MOO,9,0.05,2024-08-23,US-Equity-SNP,pending
19,FOX,1,37.93,MOO,4,0.05,2024-08-23,US-Equity-SNP,pending
