,symbol,signal,potential_fill_price,order_type,priority,risk_adjuster,Date,market,status
0,NVDA,-1,134.8,MOO,7,0.05,2024-10-14,US-Equity-SNP,pending
1,TSLA,-1,217.8,MOO,8,0.05,2024-10-14,US-Equity-SNP,pending
2,META,-1,589.95,MOO,6,0.05,2024-10-14,US-Equity-SNP,pending
3,HON,-1,215.99,MOO,4,0.05,2024-10-14,US-Equity-SNP,pending
4,CPB,1,47.41,MOO,1,0.05,2024-10-14,US-Equity-SNP,pending
5,GNRC,-1,173.59,MOO,3,0.05,2024-10-14,US-Equity-SNP,pending
6,AAP,1,37.53,MOO,0,0.05,2024-10-14,US-Equity-SNP,pending
7,GE,-1,191.16,MOO,2,0.05,2024-10-14,US-Equity-SNP,pending
8,EMR,-1,112.06,MOO,0,0.05,2024-10-14,US-Equity-SNP,pending
9,DXCM,1,69.21,MOO,4,0.05,2024-10-14,US-Equity-SNP,pending
10,GIS,1,70.81,MOO,6,0.05,2024-10-14,US-Equity-SNP,pending
11,KDP,1,36.38,MOO,7,0.05,2024-10-14,US-Equity-SNP,pending
12,DG,1,82.49,MOO,2,0.05,2024-10-14,US-Equity-SNP,pending
13,DLTR,1,68.94,MOO,3,0.05,2024-10-14,US-Equity-SNP,pending
14,WAB,-1,187.95,MOO,9,0.05,2024-10-14,US-Equity-SNP,pending
15,FSLR,-1,211.49,MOO,1,0.05,2024-10-14,US-Equity-SNP,pending
16,LW,-1,71.35,MOO,5,0.05,2024-10-14,US-Equity-SNP,pending
17,TSN,1,58.83,MOO,9,0.05,2024-10-14,US-Equity-SNP,pending
18,SJM,1,116.82,MOO,8,0.05,2024-10-14,US-Equity-SNP,pending
19,FMC,1,60.66,MOO,5,0.05,2024-10-14,US-Equity-SNP,pending
