,symbol,market,vol_ratio_for_stop_loss,opening_time,exact_opening_time,opening_price,risk_adjuster,trade_direction,id,closing_time_1st_trade,closing_price_1st_trade,closing_time_2nd_trade,closing_price_2nd_trade,number_of_take_profit_touches,reason_for_closing_1st_trade,reason_for_closing_2nd_trade,is_1st_trade_closed,is_2nd_trade_closed,is_successful,PnL_ratio,PnL_ratio_gross,fees_of_1st_trade,taxes_for_1st_trade,fees_of_2nd_trade,taxes_for_2nd_trade,n_shares,invested_budget,n_shares_1st_trade,n_shares_2nd_trade,invested_budget_1st_trade,invested_budget_2nd_trade,ratio_of_simple_budget_to_invested_budget,is_1st_trade_analyzed,is_2nd_trade_analyzed,gain,stop_loss_type,stop_loss_percentage,take_profit_percentage,max_investment,stat_close_Vola_7_1d,stat_close_Vola_14_1d,stat_close_Vola_22_1d,stat_intraday_vol_5_1d,stat_overnight_vol_5_1d,stat_cum_return_3_1d,stat_cum_return_5_1d,stat_cum_return_10_1d,stat_cum_return_22_1d,stat_cum_intraday_return_3_1d,stat_intraday_return_zscore_3_1d,stat_cum_intraday_return_5_1d,stat_intraday_return_zscore_5_1d,stat_cum_intraday_return_10_1d,stat_intraday_return_zscore_10_1d,stat_cum_intraday_return_22_1d,stat_intraday_return_zscore_22_1d,stat_DeltaOpenPercentage_1d,stat_DeltaOpenPercentageMA2_1d,stat_Delta2OpenPercentage_1d,stat_Delta2OpenPercentageMA2_1d,stat_DeltaClosePercentage_1d,stat_Delta2ClosePercentage_1d,stat_DeltaClosexDelta2Close_1d,stat_market_index_change(t_1)_ratio_1d,stat_market_index_open_to_close_t_1_ratio_1d,stat_market_index_5t_change_ratio_1d,stat_market_index_5t_diff_from_max_ratio_1d,stat_market_index_5t_diff_from_min_ratio_1d,stat_market_index_10t_change_ratio_1d,stat_market_index_10t_diff_from_max_ratio_1d,stat_market_index_10t_diff_from_min_ratio_1d,stat_market_index_22t_change_ratio_1d,stat_market_index_22t_diff_from_max_ratio_1d,stat_market_index_22t_diff_from_min_ratio_1d,stat_vix_change(t_1)_ratio_1d,stat_vix_open_to_close_t_1_ratio_1d,stat_vix_5t_change_ratio_1d,stat_vix_5t_diff_from_max_ratio_1d,stat_vix_5t_diff_from_min_ratio_1d,stat_vix_10t_change_ratio_1d,stat_vix_10t_diff_from_max_ratio_1d,stat_vix_10t_diff_from_min_ratio_1d,stat_vix_22t_change_ratio_1d,stat_vix_22t_diff_from_max_ratio_1d,stat_vix_22t_diff_from_min_ratio_1d,stat_us_dollar_change(t_1)_ratio_1d,stat_us_dollar_open_to_close_t_1_ratio_1d,stat_us_dollar_5t_change_ratio_1d,stat_us_dollar_5t_diff_from_max_ratio_1d,stat_us_dollar_5t_diff_from_min_ratio_1d,stat_us_dollar_10t_change_ratio_1d,stat_us_dollar_10t_diff_from_max_ratio_1d,stat_us_dollar_10t_diff_from_min_ratio_1d,stat_us_dollar_22t_change_ratio_1d,stat_us_dollar_22t_diff_from_max_ratio_1d,stat_us_dollar_22t_diff_from_min_ratio_1d,stat_open_to_open_t_2_1d_ratio,stat_open_to_open_t_10_1d_ratio,stat_3t_diff_from_max_ratio_1d,stat_3t_diff_from_min_ratio_1d,stat_5t_diff_from_max_ratio_1d,stat_5t_diff_from_min_ratio_1d,stat_10t_diff_from_max_ratio_1d,stat_10t_diff_from_min_ratio_1d,stat_22t_diff_from_max_ratio_1d,stat_22t_diff_from_min_ratio_1d,stat_open_to_close_t_1_ratio_1d,stat_vol_lazy,stat_vol_correlation,stat_sharpe_126,stat_sharpe_66,stat_sharpe_22,stat_sharpe_10,stat_yesterday_intraday_vol,stat_yesterday_vol,stat_beta_22_1d,stat_IV_based_on_daily_return_market_22_1d,stat_last_day_residual_22_1d,stat_cum_5_residual_22_1d,stat_beta_66_1d,stat_IV_based_on_daily_return_market_66_1d,stat_last_day_residual_66_1d,stat_cum_5_residual_66_1d,stat_RSI_14_t_1_1d,stat_ADX_14_1d,stat_DMP_14_1d,stat_DMN_14_1d,stat_ADXdiff_14_1d,stat_close_EMA(5)_ratio_1d,stat_close_EMA(10)_ratio_1d,stat_close_EMA(20)_ratio_1d,stat_EMA(5)_EMA(20)_ratio_1d,stat_EMA(5)_EMA(10)_ratio_1d,stat_OBV7_1d,stat_CMF10_1d,stat_stoch_k_4_1d,stat_stoch_d_4_1d,stat_stoch_k_d_diff_4_1d,stat_stoch_k_7_1d,stat_stoch_d_7_1d,stat_stoch_k_d_diff_7_1d,stat_stoch_k_14_1d,stat_stoch_d_14_1d,stat_stoch_k_d_diff_14_1d,stat_sector_1,stat_sector_2,stat_sector_3,stat_sector_4,stat_sector_5,stat_sector_6,stat_sector_7,stat_sector_8,stat_sector_9,stat_sector_10,stat_sector_11,stat_group_1,stat_group_2,stat_group_3,stat_group_4,stat_group_5,stat_group_6,stat_group_7,stat_group_8,stat_group_9,stat_group_10,stat_group_11,stat_group_12,stat_group_13,stat_group_14,stat_group_15,stat_group_16,stat_group_17,stat_group_18,stat_group_19,stat_group_20,stat_group_21,stat_group_22,stat_group_23,stat_group_24,stat_group_25,stat_group_26,stat_group_27,stat_group_28,stat_group_29,duration,budget,budget_after_which_trade
0,AMZN,US-Equity-SNP,2,2018-10-01 09:30:00-04:00,2018-10-01 09:30:00-04:00,101.09950256347656,1.0,-1,US-Equity-SNP-AMZN-20181001-093000,2018-10-04 09:30:00-04:00,96.0446,2018-10-04 09:30:00-04:00,96.0446,1,Take Profit in candle,Take Profit in candle,True,True,1,0.04989093544663507,0.049999282244764534,27.0832606608,0,27.0832606608,0,4945,499937.0402,2472.5,2472.5,249968.5201,249968.5201,0.5,True,True,24942.3266,Fixed,5,5,100769434.34839423,0.013039895,0.015760375,0.016130986,0.011244446,0.0057973866,0.01450187,0.045383155,0.01781851,0.038423955,0.01242584,-0.9035716,0.0447734,-1.2702045,0.00818783,-0.10773939,0.00024545193,-0.04720178,0.8770704,0.7187307,0.31667948,-0.18986464,-0.0049578547,-0.024265707,0.00012030585,-6.854534e-06,0.004224539,-0.005355537,-0.0018463355,0.002756398,0.0030981302,-0.0057220915,0.008716398,0.0056806803,-0.0057220915,0.014730071,-0.02336824,-0.010726094,0.03767121,-0.059736263,0.0,0.004142523,-0.114035115,0.037671197,-0.030400038,-0.18548389,0.037671197,0.0019999743,-0.0008404255,0.010295033,0.0,0.011261078,0.0022109747,0.0,0.013630058,0.0049619675,-0.0024103513,0.013630058,0.014423728,0.034408808,-0.004957829,0.01425426,-0.004957829,0.035484597,-0.004957829,0.0497739,-0.017901363,0.0497739,0.009480834,0.014304457,0.3864617,3.502451,3.1588912,1.718774,1.6757706,0.07033944,0.0049578547,2.4663093,0.013068005,-0.0060366616,0.0531083,1.6460036,0.010865524,-0.005894109,0.049457565,59.68007,18.832369,26.384212,24.370117,2.0140958,0.009284474,0.016222186,0.022767482,0.013358978,0.0068738917,52.869576,0.035874594,85.13547,88.29601,-3.1605444,89.22419,87.30065,1.923537,86.58225,78.04693,8.535323,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,10024942.3266,US-Equity-SNP-AMZN-20181001-093000
1,AAPL,US-Equity-SNP,2,2018-10-01 09:30:00-04:00,2018-10-01 09:30:00-04:00,54.30098342895508,1.0,-1,US-Equity-SNP-AAPL-20181001-093000,2018-10-08 09:30:00-04:00,53.3053,2018-10-08 09:30:00-04:00,53.3053,0,Max holding days touched,Max holding days touched,True,True,1,0.0181415504360337,0.01833637930807979,48.7023041176,0,48.7023041176,0,9207,499949.1544,4603.5,4603.5,249974.5772,249974.5772,0.5,True,True,9069.8528,Fixed,5,5,76829855.73480988,0.011233996,0.015316097,0.013995128,0.010087457,0.007800112,0.016097486,0.036818445,0.009270847,0.029191792,0.0066503882,0.47698206,0.03606397,-0.37879166,0.0032288432,0.35592228,0.0054039955,0.33239147,1.4057636,0.9195566,0.972414,0.064867735,0.0035116673,-0.017040133,-5.983928e-05,-6.854534e-06,0.004224539,-0.005355537,-0.0018463355,0.002756398,0.0030981302,-0.0057220915,0.008716398,0.0056806803,-0.0057220915,0.014730071,-0.02336824,-0.010726094,0.03767121,-0.059736263,0.0,0.004142523,-0.114035115,0.037671197,-0.030400038,-0.18548389,0.037671197,0.0019999743,-0.0008404255,0.010295033,0.0,0.011261078,0.0022109747,0.0,0.013630058,0.0049619675,-0.0024103513,0.013630058,0.018452168,0.026108384,0.0,0.024135644,0.0,0.024135644,0.0,0.037121993,-0.011473058,0.037121993,0.009790063,0.012419236,0.38649845,3.0509646,3.9280581,1.5050865,1.0961298,0.42262077,0.0035116673,2.0111403,0.011634218,0.0027292704,0.043604434,1.1790965,0.011638048,0.0015417661,0.033240974,60.729916,25.656116,23.704086,16.122082,7.5820045,0.011236872,0.016183447,0.022482507,0.011120675,0.00489161,20.60723,-0.2429149,75.88497,75.24713,0.6378397,80.02676,75.06577,4.960979,64.39341,54.376953,10.0164585,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,10034012.1794,US-Equity-SNP-AAPL-20181001-093000
2,MSFT,US-Equity-SNP,2,2018-10-01 09:30:00-04:00,2018-10-01 09:30:00-04:00,107.90779876708984,1.0,-1,US-Equity-SNP-MSFT-20181001-093000,2018-10-08 09:30:00-04:00,104.2404,2018-10-08 09:30:00-04:00,104.2404,0,Max holding days touched,Max holding days touched,True,True,1,0.03388439523928759,0.033986410704249743,25.5006398268,0,25.5006398268,0,4633,499936.8317,2316.5,2316.5,249968.41585,249968.41585,0.5,True,True,16940.0572,Fixed,5,5,26268484.529198386,0.0068802047,0.008964368,0.010689511,0.0070854505,0.005833663,-0.0006837845,0.0009859204,0.009157181,0.03783375,-0.0059277415,1.138026,0.0055328608,0.06003299,0.0028190613,0.13741525,0.050766647,-0.07380276,0.4904151,-0.0118047,1.0044396,0.10980368,-0.00034970045,-0.0041221976,1.4415343e-06,-6.854534e-06,0.004224539,-0.005355537,-0.0018463355,0.002756398,0.0030981302,-0.0057220915,0.008716398,0.0056806803,-0.0057220915,0.014730071,-0.02336824,-0.010726094,0.03767121,-0.059736263,0.0,0.004142523,-0.114035115,0.037671197,-0.030400038,-0.18548389,0.037671197,0.0019999743,-0.0008404255,0.010295033,0.0,0.011261078,0.0022109747,0.0,0.013630058,0.0049619675,-0.0024103513,0.013630058,-0.00026130676,0.009323478,-0.00034967207,0.003421506,-0.0026163463,0.003421506,-0.0026163463,0.023903385,-0.0026163463,0.056926236,0.0033226013,0.0087726135,0.4367948,3.0434043,3.3967693,2.553872,1.5996311,0.15763044,0.00034970045,1.9872991,0.0076604397,-0.0015313686,0.0056487327,1.5973915,0.007676429,-0.0009725118,0.006368959,62.43979,18.511982,22.197426,17.999144,4.1982813,0.0015486653,0.0063523925,0.016671382,0.015099334,0.0047962996,45.65368,0.03555367,60.65378,67.5636,-6.9098206,73.69644,76.06879,-2.3723397,85.55769,86.99247,-1.4347818,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,10050952.2366,US-Equity-SNP-MSFT-20181001-093000
3,AMZN,US-Equity-SNP,2,2018-10-08 09:30:00-04:00,2018-10-08 09:30:00-04:00,93.69999694824219,1.0,-1,US-Equity-SNP-AMZN-20181008-093000,2018-10-10 09:30:00-04:00,89.015,2018-10-10 09:30:00-04:00,89.015,1,Take Profit in candle,Take Profit in candle,True,True,1,0.049883697853745135,0.04999996905901796,29.137607634800002,0,29.137607634800002,0,5349,501201.2837,2674.5,2674.5,250600.64185,250600.64185,0.5,True,True,25001.7734,Fixed,5,5,96422525.20907317,0.01347067,0.014022522,0.01470462,0.015004404,0.0054087136,-0.041958153,-0.057768226,-0.01238507,-0.0518229,-0.049687326,0.55060285,-0.072746515,-0.055256855,-0.027973115,-0.87684554,-0.085866034,-0.73673004,-2.293551,-1.9423097,-0.70248246,-0.321725,-0.010353982,0.011840224,-0.00012259347,-0.005527973,-0.0027862787,-0.009749532,-0.0136523,0.0,-0.015052855,-0.0136523,0.0,-0.0010489821,-0.015415826,0.0048369374,0.04219401,0.08299589,0.22277224,0.0,0.2764858,0.26883554,0.0,0.2764858,0.06542051,-0.0040322863,0.2764858,-0.0013576746,0.0,0.004517317,-0.0014619819,0.0033578142,0.014858842,-0.0014619819,0.015829232,0.005150914,-0.0014619819,0.018208914,-0.038481295,-0.015647769,-0.032318383,0.0,-0.05723028,0.0,-0.061267413,0.0,-0.061267413,0.0,-0.008281946,0.014456788,0.4048864,2.803896,2.0692298,-2.542995,-1.3615803,1.4775872,0.010353982,2.1715212,0.0116414,0.003918465,-0.02527283,1.6187139,0.011054214,-0.0016240242,-0.043090887,40.39875,18.713276,17.922829,36.459133,-18.536304,-0.021672882,-0.029747989,-0.031466845,-0.010010931,-0.008253994,28.53948,-0.18274009,10.252372,13.7163515,-3.4639797,13.297788,32.00705,-18.709263,31.444263,48.264088,-16.819824,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,10075954.010000002,US-Equity-SNP-AMZN-20181008-093000
4,AAPL,US-Equity-SNP,2,2018-10-15 09:30:00-04:00,2018-10-15 09:30:00-04:00,52.683502197265625,1.0,-1,US-Equity-SNP-AAPL-20181015-093000,2018-10-22 09:30:00-04:00,52.562,2018-10-22 09:30:00-04:00,52.562,0,Max holding days touched,Max holding days touched,True,True,1,0.0021057014078269326,0.0023062665198429724,50.518283591999996,0,50.518283591999996,0,9562,503759.648,4781.0,4781.0,251879.824,251879.824,0.5,True,True,1060.7674,Fixed,5,5,72702360.08678713,0.02588797,0.01975864,0.018103356,0.019727435,0.013944707,-0.01943463,-0.007899642,-0.013918817,0.00815618,-0.033021152,0.7256542,-0.011557996,0.45556897,-0.025060117,0.6160286,-0.017362535,0.6265191,0.3357172,1.5430152,-2.414596,2.594012,0.035719275,0.04454726,0.0015911958,0.014206171,-0.0011925101,-0.041045666,-0.040666632,0.014206198,-0.050395012,-0.054137614,0.014206198,-0.04215765,-0.055828754,0.014206198,-0.14691752,0.030971408,0.43792176,-0.14691754,0.35818994,0.75825083,-0.14691754,0.83548665,0.6217655,-0.14691754,0.83548665,0.0021048784,0.0013651848,-0.004183233,-0.005742878,0.0021048682,0.00031518936,-0.005742878,0.0021048682,0.0044304132,-0.005742878,0.013949499,0.030952573,-0.029787302,0.0,0.03571927,-0.020981088,0.03571927,-0.042918082,0.03571927,-0.042918082,0.03571927,-0.004277289,0.02078499,0.48278037,2.2538855,2.870244,0.3250913,-0.9856559,0.7667184,0.035719275,1.4786689,0.011038724,0.011515597,0.036803655,1.314671,0.012047326,0.014320398,0.03244761,50.6774,20.83654,21.60486,26.295517,-4.6906567,0.006139005,-0.00045344062,-0.0011372446,-0.0072318534,-0.0065522213,10.570275,0.000105119114,27.413475,26.466722,0.9467531,20.242329,22.420769,-2.1784406,19.379585,26.666521,-7.286936,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,10077014.777400002,US-Equity-SNP-AAPL-20181015-093000
5,MSFT,US-Equity-SNP,2,2018-10-15 09:30:00-04:00,2018-10-15 09:30:00-04:00,102.4160385131836,1.0,-1,US-Equity-SNP-MSFT-20181015-093000,2018-10-22 09:30:00-04:00,103.0931,2018-10-22 09:30:00-04:00,103.0931,0,Max holding days touched,Max holding days touched,True,True,0,-0.006717949925689396,-0.006610893143745819,26.966765473599995,0,26.966765473599995,0,4919,503784.4934,2459.5,2459.5,251892.2467,251892.2467,0.5,True,True,-3384.399,Fixed,5,5,31725444.828437805,0.027645236,0.019498685,0.016776826,0.021421013,0.014296332,-0.022135675,-0.02083081,-0.04031068,-0.016337574,-0.035214245,0.5743089,-0.032390952,0.50881785,-0.04868257,0.6137578,-0.03872931,0.5413183,-0.09171367,1.6912073,-3.565842,2.6015759,0.03455758,0.03691256,0.0012756088,0.014206171,-0.0011925101,-0.041045666,-0.040666632,0.014206198,-0.050395012,-0.054137614,0.014206198,-0.04215765,-0.055828754,0.014206198,-0.14691752,0.030971408,0.43792176,-0.14691754,0.35818994,0.75825083,-0.14691754,0.83548665,0.6217655,-0.14691754,0.83548665,0.0021048784,0.0013651848,-0.004183233,-0.005742878,0.0021048682,0.00031518936,-0.005742878,0.0021048682,0.0044304132,-0.005742878,0.013949499,0.033792377,-0.05089307,0.0,0.034557562,-0.023962503,0.034557562,-0.052244708,0.034557562,-0.052244708,0.034557562,-0.006023288,0.021515055,0.61366326,1.7490766,1.4582236,-0.70267636,-2.749017,0.5137086,0.03455758,1.4666721,0.008987404,0.011660619,0.029061522,1.5385844,0.008721438,0.011439377,0.036014877,45.126476,23.39896,17.482727,32.138885,-14.656159,0.0041016038,-0.008517298,-0.016323607,-0.020341776,-0.012567355,17.975214,-0.13977271,28.24772,27.094732,1.1529891,22.895708,21.948872,0.9468353,20.886543,21.27915,-0.39260805,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,10073630.378400002,US-Equity-SNP-MSFT-20181015-093000
6,AMZN,US-Equity-SNP,2,2018-10-15 09:30:00-04:00,2018-10-15 09:30:00-04:00,89.75,1.0,-1,US-Equity-SNP-AMZN-20181015-093000,2018-10-22 09:30:00-04:00,89.465,2018-10-22 09:30:00-04:00,89.465,0,Max holding days touched,Max holding days touched,True,True,1,0.0030544512911977618,0.0031754874651810203,30.4870095,0,30.4870095,0,5613,503766.75,2806.5,2806.5,251883.375,251883.375,0.5,True,True,1538.731,Fixed,5,5,110530705.74951866,0.030537514,0.02387223,0.020927709,0.025421664,0.02487248,-0.04169494,-0.05188209,-0.109650314,-0.10178721,-0.06866145,0.42962676,-0.0682196,0.12173008,-0.14096612,0.20780309,-0.14925367,-0.24795082,-0.7190287,2.0766826,-5.591422,3.2437682,0.040276527,0.060723722,0.0024457406,0.014206171,-0.0011925101,-0.041045666,-0.040666632,0.014206198,-0.050395012,-0.054137614,0.014206198,-0.04215765,-0.055828754,0.014206198,-0.14691752,0.030971408,0.43792176,-0.14691754,0.35818994,0.75825083,-0.14691754,0.83548665,0.6217655,-0.14691754,0.83548665,0.0021048784,0.0013651848,-0.004183233,-0.005742878,0.0021048682,0.00031518936,-0.005742878,0.0021048682,0.0044304132,-0.005742878,0.013949499,0.041183352,-0.1122607,0.0,0.040276542,-0.04368774,0.040276542,-0.1076404,0.040276542,-0.11146167,0.040276542,0.0035727024,0.025728196,0.64537036,1.8969535,0.4073943,-3.5095313,-6.873245,1.0724604,0.040276527,1.7623284,0.012115219,0.0164983,0.02673957,1.8079469,0.0111194635,0.014142907,0.02007531,36.55144,27.973936,16.883347,42.639313,-25.755964,-0.006415521,-0.03153493,-0.053206354,-0.04709296,-0.025281604,18.698982,-0.3495302,21.732874,18.496338,3.2365363,16.593855,13.056843,3.5370119,13.293391,11.795429,1.4979619,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,10075169.1094,US-Equity-SNP-AMZN-20181015-093000
7,MSFT,US-Equity-SNP,2,2018-10-29 09:30:00-04:00,2018-10-29 09:30:00-04:00,101.66372680664062,1.0,-1,US-Equity-SNP-MSFT-20181029-093000,2018-10-30 09:30:00-04:00,96.5806,2018-10-30 09:30:00-04:00,96.5806,1,Take Profit in candle,Take Profit in candle,True,True,1,0.049891624832598944,0.04999941440577401,27.149212565200003,0,27.149212565200003,0,4955,503743.7663,2477.5,2477.5,251871.88315,251871.88315,0.5,True,True,25132.595,Fixed,5,5,37130002.14603736,0.03407422,0.031236298,0.025202356,0.026785307,0.022903405,-0.0073977113,-0.012427032,-0.019907713,-0.056795597,-0.027735293,0.52235454,-0.021837533,0.5545126,-0.046233833,0.79041064,-0.09656358,0.9382652,2.2896886,0.74128807,3.096801,2.0026982,-0.012372911,-0.07081705,0.0008762131,-0.017327249,0.009011984,-0.039414287,-0.035266392,0.00097505504,-0.039188623,-0.053820033,0.00097505504,-0.085093796,-0.091204636,0.00097505504,-0.0024772882,0.0132449865,0.21468079,-0.04240982,0.2301426,0.13374007,-0.04240982,0.38850576,0.8743211,-0.04240982,1.0809647,-0.0033099055,0.0008302927,0.006791353,-0.003309885,0.0041684196,0.011972308,-0.003309885,0.013782194,0.023038507,-0.003309885,0.014315796,0.0146410465,-0.007345617,-0.012372903,0.04534813,-0.024354424,0.04534813,-0.03639628,0.04534813,-0.074820355,0.04534813,0.010751486,0.02753498,0.59265864,1.3931195,-0.327404,-1.6261145,-1.0349435,1.2016177,0.012372911,1.669508,0.010965699,0.012548039,0.033279676,1.6083714,0.008950622,0.014240567,0.044631522,44.96281,27.02375,11.127831,28.80985,-17.68202,-0.0017470873,-0.009027146,-0.02002471,-0.01830961,-0.0072928,13.624038,-0.05803254,50.92308,43.635197,7.287883,43.57587,39.451866,4.124007,37.146343,33.514965,3.6313787,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10100301.7044,US-Equity-SNP-MSFT-20181029-093000
8,AMZN,US-Equity-SNP,2,2018-10-29 09:30:00-04:00,2018-10-29 09:30:00-04:00,83.0,1.0,-1,US-Equity-SNP-AMZN-20181029-093000,2018-10-30 09:30:00-04:00,74.308,2018-10-30 09:30:00-04:00,74.308,1,Take Profit at Open,Take Profit at Open,True,True,1,0.10459266269229167,0.10472289156626498,32.799910499999996,0,32.799910499999996,0,6069,503727.0,3034.5,3034.5,251863.5,251863.5,0.5,True,True,52686.1482,Fixed,5,5,127840352.06509677,0.049403466,0.041502442,0.033474557,0.035240404,0.037189364,-0.06639284,-0.06358057,-0.07615298,-0.1714533,-0.019565761,0.04462382,-0.0014076829,-0.09717478,-0.045645118,0.015503551,-0.1774112,0.17303976,0.63107014,-1.2622476,3.7866354,2.298957,-0.078196764,-0.14908361,0.011657856,-0.017327249,0.009011984,-0.039414287,-0.035266392,0.00097505504,-0.039188623,-0.053820033,0.00097505504,-0.085093796,-0.091204636,0.00097505504,-0.0024772882,0.0132449865,0.21468079,-0.04240982,0.2301426,0.13374007,-0.04240982,0.38850576,0.8743211,-0.04240982,1.0809647,-0.0033099055,0.0008302927,0.006791353,-0.003309885,0.0041684196,0.011972308,-0.003309885,0.013782194,0.023038507,-0.003309885,0.014315796,-0.02544415,-0.0752089,-0.07819675,0.0,-0.08186994,0.0,-0.103137456,0.0,-0.18389153,0.0,0.010463715,0.039535694,0.7552871,0.47899315,-1.1642593,-3.695801,-2.7884398,0.4110098,0.078196764,2.195977,0.015122755,-0.04101953,0.018527547,2.0926824,0.013248366,-0.042360667,0.016703388,35.891106,35.383354,10.247845,35.39649,-25.148642,-0.043673415,-0.062072285,-0.08733306,-0.045653485,-0.019239105,10.405826,0.0331749,35.96018,37.071827,-1.1116517,29.412655,32.914593,-3.5019364,22.512157,24.472195,-1.9600376,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10152987.8526,US-Equity-SNP-AMZN-20181029-093000
9,AAPL,US-Equity-SNP,2,2018-10-29 09:30:00-04:00,2018-10-29 09:30:00-04:00,52.2142333984375,1.0,-1,US-Equity-SNP-AAPL-20181029-093000,2018-11-02 09:30:00-04:00,49.6035,2018-11-02 09:30:00-04:00,49.6035,1,Take Profit in candle,Take Profit in candle,True,True,1,0.04979812047260073,0.05000041614161913,50.9492503384,0,50.9492503384,0,9647,503710.7096,4823.5,4823.5,251855.3548,251855.3548,0.5,True,True,25083.8466,Fixed,5,5,69203609.75857128,0.021414667,0.023862652,0.020404346,0.021312846,0.01375134,-0.028327286,-0.012790501,-0.024604023,-0.014459372,-0.022285044,0.40157905,0.01359731,-0.03667266,0.0034164786,0.08402665,-0.012368798,0.14969443,1.5238643,0.34625232,2.355224,1.8603265,-0.015923321,-0.037820876,0.000602234,-0.017327249,0.009011984,-0.039414287,-0.035266392,0.00097505504,-0.039188623,-0.053820033,0.00097505504,-0.085093796,-0.091204636,0.00097505504,-0.0024772882,0.0132449865,0.21468079,-0.04240982,0.2301426,0.13374007,-0.04240982,0.38850576,0.8743211,-0.04240982,1.0809647,-0.0033099055,0.0008302927,0.006791353,-0.003309885,0.0041684196,0.011972308,-0.003309885,0.013782194,0.023038507,-0.003309885,0.014315796,0.0067983866,-0.008907318,-0.015923299,0.0056256074,-0.028868897,0.0056256074,-0.028868897,0.0056256074,-0.06795356,0.0086267935,0.013361096,0.019170053,0.42102835,2.5574937,1.6921825,-0.5113336,-1.9223479,0.18527508,0.015923321,1.3167894,0.0097493455,0.0023536026,0.016364943,1.2646807,0.01240894,0.0029580325,0.021849658,45.84148,18.677843,14.039838,24.827818,-10.787979,-0.008715958,-0.012831654,-0.017481072,-0.008842182,-0.004151884,8.709975,-0.031043803,30.453253,46.519333,-16.06608,36.85476,52.22423,-15.369473,31.290295,35.740463,-4.450168,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,10178071.6992,US-Equity-SNP-AAPL-20181029-093000
