,symbol,signal,potential_fill_price,order_type,priority,risk_adjuster,Date,market,status
0,JPM,-1,221.29,MOO,3,0.05,2024-08-29,US-Equity-SNP,pending
1,MRK,-1,117.4,MOO,4,0.05,2024-08-29,US-Equity-SNP,pending
2,ACN,-1,337.39,MOO,0,0.05,2024-08-29,US-Equity-SNP,pending
3,ORCL,-1,137.88,MOO,5,0.05,2024-08-29,US-Equity-SNP,pending
4,BA,-1,170.71,MOO,1,0.05,2024-08-29,US-Equity-SNP,pending
5,HII,-1,280.05,MOO,2,0.05,2024-08-29,US-Equity-SNP,pending
6,FTRE,1,22.63,MOO,5,0.05,2024-08-29,US-Equity-SNP,pending
7,NEE,1,79.41,MOO,7,0.05,2024-08-29,US-Equity-SNP,pending
8,DXCM,1,70.48,MOO,1,0.05,2024-08-29,US-Equity-SNP,pending
9,EW,1,68.65,MOO,2,0.05,2024-08-29,US-Equity-SNP,pending
10,CEG,1,193.77,MOO,0,0.05,2024-08-29,US-Equity-SNP,pending
11,PRU,-1,118.78,MOO,7,0.05,2024-08-29,US-Equity-SNP,pending
12,PPG,-1,127.64,MOO,6,0.05,2024-08-29,US-Equity-SNP,pending
13,FICO,1,1722.35,MOO,3,0.05,2024-08-29,US-Equity-SNP,pending
14,FSLR,1,228.57,MOO,4,0.05,2024-08-29,US-Equity-SNP,pending
15,TXT,-1,90.1,MOO,9,0.05,2024-08-29,US-Equity-SNP,pending
16,LW,1,61.13,MOO,6,0.05,2024-08-29,US-Equity-SNP,pending
17,PODD,1,204.42,MOO,8,0.05,2024-08-29,US-Equity-SNP,pending
18,TRMB,-1,56.13,MOO,8,0.05,2024-08-29,US-Equity-SNP,pending
19,SEDG,1,25.69,MOO,9,0.05,2024-08-29,US-Equity-SNP,pending
