,symbol,signal,potential_fill_price,order_type,priority,risk_adjuster,Date,market,status
0,JPM,-1,224.8,MOO,5,0.05,2024-09-03,US-Equity-SNP,pending
1,INTC,1,22.04,MOO,4,0.05,2024-09-03,US-Equity-SNP,pending
2,HII,-1,282.77,MOO,4,0.05,2024-09-03,US-Equity-SNP,pending
3,FFIV,-1,203.15,MOO,3,0.05,2024-09-03,US-Equity-SNP,pending
4,AAP,-1,45.31,MOO,0,0.05,2024-09-03,US-Equity-SNP,pending
5,USB,-1,47.23,MOO,9,0.05,2024-09-03,US-Equity-SNP,pending
6,QCOM,1,175.3,MOO,7,0.05,2024-09-03,US-Equity-SNP,pending
7,DXCM,1,69.34,MOO,1,0.05,2024-09-03,US-Equity-SNP,pending
8,EW,1,69.96,MOO,2,0.05,2024-09-03,US-Equity-SNP,pending
9,MET,-1,77.48,MOO,7,0.05,2024-09-03,US-Equity-SNP,pending
10,CTVA,-1,57.3,MOO,2,0.05,2024-09-03,US-Equity-SNP,pending
11,MPWR,1,934.68,MOO,6,0.05,2024-09-03,US-Equity-SNP,pending
12,FSLR,1,227.37,MOO,3,0.05,2024-09-03,US-Equity-SNP,pending
13,CINF,-1,137.03,MOO,1,0.05,2024-09-03,US-Equity-SNP,pending
14,TXT,-1,91.2,MOO,8,0.05,2024-09-03,US-Equity-SNP,pending
15,LW,1,61.92,MOO,5,0.05,2024-09-03,US-Equity-SNP,pending
16,TER,1,136.73,MOO,9,0.05,2024-09-03,US-Equity-SNP,pending
17,BBY,1,100.4,MOO,0,0.05,2024-09-03,US-Equity-SNP,pending
18,K,-1,80.61,MOO,6,0.05,2024-09-03,US-Equity-SNP,pending
19,SEDG,1,24.33,MOO,8,0.05,2024-09-03,US-Equity-SNP,pending
