,symbol,signal,potential_fill_price,order_type,priority,risk_adjuster,Date,market,status
0,NVDA,-1,115.59,MOO,6,0.05,2024-09-18,US-Equity-SNP,pending
1,META,-1,536.32,MOO,4,0.05,2024-09-18,US-Equity-SNP,pending
2,JNJ,1,167.07,MOO,4,0.05,2024-09-18,US-Equity-SNP,pending
3,KO,1,71.8,MOO,5,0.05,2024-09-18,US-Equity-SNP,pending
4,GE,-1,180.33,MOO,2,0.05,2024-09-18,US-Equity-SNP,pending
5,DXCM,1,68.94,MOO,2,0.05,2024-09-18,US-Equity-SNP,pending
6,AEP,1,104.21,MOO,0,0.05,2024-09-18,US-Equity-SNP,pending
7,O,1,62.49,MOO,7,0.05,2024-09-18,US-Equity-SNP,pending
8,URI,-1,771.26,MOO,9,0.05,2024-09-18,US-Equity-SNP,pending
9,WEC,1,95.74,MOO,9,0.05,2024-09-18,US-Equity-SNP,pending
10,MPWR,-1,867.31,MOO,5,0.05,2024-09-18,US-Equity-SNP,pending
11,ULTA,-1,397.0,MOO,8,0.05,2024-09-18,US-Equity-SNP,pending
12,HPE,-1,18.2,MOO,3,0.05,2024-09-18,US-Equity-SNP,pending
13,FE,1,43.69,MOO,3,0.05,2024-09-18,US-Equity-SNP,pending
14,VTR,1,64.43,MOO,8,0.05,2024-09-18,US-Equity-SNP,pending
15,AXON,-1,382.57,MOO,0,0.05,2024-09-18,US-Equity-SNP,pending
16,ALB,1,89.82,MOO,1,0.05,2024-09-18,US-Equity-SNP,pending
17,MAA,1,164.0,MOO,6,0.05,2024-09-18,US-Equity-SNP,pending
18,CZR,-1,40.25,MOO,1,0.05,2024-09-18,US-Equity-SNP,pending
19,SEDG,-1,22.52,MOO,7,0.05,2024-09-18,US-Equity-SNP,pending
