,symbol,signal,potential_fill_price,order_type,priority,risk_adjuster,Date,market,status
0,AVGO,-1.0,228.61,MOO,0,0.1,2025-05-19,US-Equity-SNP,pending
1,COP,-1.0,92.43,MOO,1,0.1,2025-05-19,US-Equity-SNP,pending
2,BA,-1.0,205.82,MOO,2,0.1,2025-05-19,US-Equity-SNP,pending
3,PHIN,-1.0,44.2,MOO,3,0.1,2025-05-19,US-Equity-SNP,pending
4,SRE,-1.0,77.61,MOO,4,0.1,2025-05-19,US-Equity-SNP,pending
5,WST,-1.0,216.64,MOO,5,0.1,2025-05-19,US-Equity-SNP,pending
6,GLW,-1.0,48.22,MOO,6,0.1,2025-05-19,US-Equity-SNP,pending
7,CBOE,1.0,220.95,MOO,0,0.1,2025-05-19,US-Equity-SNP,pending
8,AKAM,-1.0,78.03,MOO,7,0.1,2025-05-19,US-Equity-SNP,pending
9,LUV,-1.0,32.67,MOO,8,0.1,2025-05-19,US-Equity-SNP,pending
