,symbol,signal,potential_fill_price,order_type,priority,risk_adjuster,Date,market,status
0,TSLA,-1,270.0,LOO,0,0.05410920968852492,2024-10-29,US-Equity-1000,pending
1,UHS,1,203.8000030517578,LOO,0,0.05410920968852492,2024-10-29,US-Equity-1000,pending
2,MHK,1,131.0800018310547,LOO,1,0.10821841937704985,2024-10-29,US-Equity-1000,pending
3,HCA,1,356.5899963378906,LOO,2,0.10821841937704985,2024-10-29,US-Equity-1000,pending
4,NEM,1,48.099998474121094,LOO,3,0.10821841937704985,2024-10-29,US-Equity-1000,pending
5,DLR,-1,183.30999755859375,LOO,1,0.05410920968852492,2024-10-29,US-Equity-1000,pending
6,WST,-1,310.4100036621094,LOO,2,0.05410920968852492,2024-10-29,US-Equity-1000,pending
7,GPC,1,115.6500015258789,LOO,4,0.10821841937704985,2024-10-29,US-Equity-1000,pending
8,ENPH,1,84.05999755859375,LOO,5,0.05410920968852492,2024-10-29,US-Equity-1000,pending
9,TER,1,111.33000183105469,LOO,6,0.05410920968852492,2024-10-29,US-Equity-1000,pending
10,SEDG,-1,17.459999084472656,LOO,3,0.05410920968852492,2024-10-29,US-Equity-1000,pending
11,FIX,-1,389.29998779296875,LOO,4,0.05410920968852492,2024-10-29,US-Equity-1000,pending
12,MSTR,-1,255.33999633789062,LOO,5,0.10821841937704985,2024-10-29,US-Equity-1000,pending
13,ANF,1,137.9199981689453,LOO,7,0.10821841937704985,2024-10-29,US-Equity-1000,pending
14,AAON,-1,121.33000183105469,LOO,6,0.05410920968852492,2024-10-29,US-Equity-1000,pending
15,MTSI,1,117.54000091552734,LOO,8,0.05410920968852492,2024-10-29,US-Equity-1000,pending
16,HRI,-1,214.60000610351562,LOO,7,0.05410920968852492,2024-10-29,US-Equity-1000,pending
17,TNET,1,79.19000244140625,LOO,9,0.05410920968852492,2024-10-29,US-Equity-1000,pending
18,IRTC,-1,76.41999816894531,LOO,8,0.10821841937704985,2024-10-29,US-Equity-1000,pending
19,EVH,1,23.610000610351562,LOO,10,0.05410920968852492,2024-10-29,US-Equity-1000,pending
20,DBRG,1,16.559999465942383,LOO,11,0.05410920968852492,2024-10-29,US-Equity-1000,pending
21,JBT,-1,116.9800033569336,LOO,9,0.05410920968852492,2024-10-29,US-Equity-1000,pending
22,CRS,-1,166.0399932861328,LOO,10,0.05410920968852492,2024-10-29,US-Equity-1000,pending
23,RIOT,-1,10.5600004196167,LOO,11,0.05410920968852492,2024-10-29,US-Equity-1000,pending
24,CNX,1,35.209999084472656,LOO,12,0.05410920968852492,2024-10-29,US-Equity-1000,pending
25,OSCR,1,15.350000381469727,LOO,13,0.05410920968852492,2024-10-29,US-Equity-1000,pending
26,CLSK,-1,12.550000190734863,LOO,12,0.05410920968852492,2024-10-29,US-Equity-1000,pending
27,LRN,-1,91.9800033569336,LOO,13,0.10821841937704985,2024-10-29,US-Equity-1000,pending
28,NTLA,1,16.040000915527344,LOO,14,0.10821841937704985,2024-10-29,US-Equity-1000,pending
29,GH,-1,22.200000762939453,LOO,14,0.05410920968852492,2024-10-29,US-Equity-1000,pending
30,PRCT,-1,91.0,LOO,15,0.1623276290655748,2024-10-29,US-Equity-1000,pending
31,IONQ,-1,17.809999465942383,LOO,16,0.05410920968852492,2024-10-29,US-Equity-1000,pending
32,UPWK,-1,12.569999694824219,LOO,17,0.10821841937704985,2024-10-29,US-Equity-1000,pending
33,XPRO,1,12.979999542236328,LOO,15,0.05410920968852492,2024-10-29,US-Equity-1000,pending
34,TROX,1,12.3100004196167,LOO,16,0.05410920968852492,2024-10-29,US-Equity-1000,pending
35,WKC,1,26.06999969482422,LOO,17,0.10821841937704985,2024-10-29,US-Equity-1000,pending
36,VERA,-1,49.900001525878906,LOO,18,0.05410920968852492,2024-10-29,US-Equity-1000,pending
