,Symbol,Count,Count_Long,Count_Short,win,win_long,win_short,PnL_ratio_mean,PnL_ratio_long_mean,PnL_ratio_short_mean,TP_Touches,TP_Touches_long,TP_Touches_short,Len_of_traded_days
0,AAPL,8,6,2,0.625,0.6666666666666666,0.5,0.0052261891144599615,0.011112616563141902,-0.012433093231585854,0.0,0.0,0.0,8
1,MSFT,2,0,2,0.5,,0.5,-0.022780002848398703,,-0.022780002848398703,0.0,,0.0,2
2,AMZN,12,9,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0296615513386046,-0.040604799915486094,0.003168194392039881,0.0,0.0,0.0,8
3,NVDA,70,26,44,0.5285714285714286,0.6153846153846154,0.4772727272727273,-0.001020925263963364,0.0005855337235293051,-0.001970196483845398,0.0,0.0,0.0,60
4,GOOG,24,14,10,0.5833333333333334,0.6428571428571429,0.5,0.0062820078311202525,0.009328167503982559,0.0020173842891130288,0.0,0.0,0.0,20
5,TSLA,120,61,59,0.5166666666666667,0.5409836065573771,0.4915254237288136,-0.0004510890962704369,-0.002465089627747304,0.0016311826396632713,0.0,0.0,0.0,88
6,META,50,24,26,0.5,0.3333333333333333,0.6538461538461539,0.00037853847716140635,-0.013784307564668223,0.01345193482346568,0.0,0.0,0.0,32
7,LLY,29,9,20,0.4482758620689655,0.6666666666666666,0.35,-0.003036234265499436,0.006705070810219608,-0.007419821549573007,0.0,0.0,0.0,28
8,UNH,28,16,12,0.5357142857142857,0.625,0.4166666666666667,0.003852995513160255,0.00970107911175328,-0.003944449284963781,0.0,0.0,0.0,27
9,JPM,11,7,4,0.45454545454545453,0.5714285714285714,0.25,0.003474693598536499,0.010893462602845821,-0.009508152159004819,0.0,0.0,0.0,7
10,V,1,1,0,0.0,0.0,,-0.03335235352724045,-0.03335235352724045,,0.0,0.0,,1
11,JNJ,2,0,2,0.5,,0.5,-0.011973528929425678,,-0.011973528929425678,0.0,,0.0,2
12,AVGO,29,14,15,0.6896551724137931,0.7857142857142857,0.6,0.01708266689828605,0.02704399264983961,0.007785429530169388,0.0,0.0,0.0,29
13,HD,1,1,0,0.0,0.0,,-0.008303215991593187,-0.008303215991593187,,0.0,0.0,,1
14,CVX,1,1,0,0.0,0.0,,-0.004972429146590733,-0.004972429146590733,,0.0,0.0,,0
15,MRK,15,4,11,0.4666666666666667,0.25,0.5454545454545454,-0.008506719978105664,-0.008936844022930863,-0.008350311234532868,0.0,0.0,0.0,12
16,ABBV,6,6,0,0.6666666666666666,0.6666666666666666,,0.009751367339945458,0.009751367339945458,,0.0,0.0,,3
17,ADBE,43,23,20,0.3953488372093023,0.43478260869565216,0.35,-0.0010250749002590706,-0.00028528105782927275,-0.0018758378190533373,0.0,0.0,0.0,34
18,COST,1,1,0,0.0,0.0,,-0.015994725911729627,-0.015994725911729627,,0.0,0.0,,1
19,PEP,6,3,3,0.5,0.6666666666666666,0.3333333333333333,-0.018701561475974793,0.012422917270929264,-0.04982604022287885,0.0,0.0,0.0,3
20,CSCO,15,11,4,0.4,0.5454545454545454,0.0,-0.003925092257586227,0.001787538285892761,-0.019634826252153445,0.0,0.0,0.0,15
21,WMT,11,5,6,0.36363636363636365,0.4,0.3333333333333333,-0.003914677207734968,-0.001891334885883448,-0.005600795809277903,0.0,0.0,0.0,11
22,CRM,33,17,16,0.6060606060606061,0.7058823529411765,0.5,-0.005318432366532578,0.002510148089822298,-0.013636299101409633,0.0,0.0,0.0,18
23,ACN,21,15,6,0.6190476190476191,0.7333333333333333,0.3333333333333333,0.0009493026590917239,0.006181852267472848,-0.012132071361861086,0.0,0.0,0.0,21
24,TMO,6,3,3,0.3333333333333333,0.6666666666666666,0.0,-0.011415607615132236,0.014170822109186186,-0.03700203733945066,0.0,0.0,0.0,6
25,NFLX,40,16,24,0.375,0.5,0.2916666666666667,-0.013784257395117256,0.000635525152447732,-0.02339744576016058,0.0,0.0,0.0,30
26,BAC,4,1,3,0.25,1.0,0.0,-0.01188839730175096,0.01888468298483392,-0.022146090730612588,0.0,0.0,0.0,2
27,PFE,12,12,0,0.5,0.5,,-0.0018961707945690301,-0.0018961707945690301,,0.0,0.0,,10
28,ORCL,34,11,23,0.5588235294117647,0.7272727272727273,0.4782608695652174,0.008194478821735835,0.01919234237904788,0.002934631033456157,0.0,0.0,0.0,34
29,LIN,6,5,1,0.16666666666666666,0.2,0.0,0.0005530290476477299,0.0034360075808669054,-0.013861863618448152,0.0,0.0,0.0,3
30,CMCSA,6,6,0,0.6666666666666666,0.6666666666666666,,0.015824957672051006,0.015824957672051006,,0.0,0.0,,2
31,ABT,9,2,7,0.6666666666666666,0.0,0.8571428571428571,0.007475265962655032,-0.02031720997349646,0.015415973372984034,0.0,0.0,0.0,9
32,AMD,49,22,27,0.46938775510204084,0.36363636363636365,0.5555555555555556,-0.005346193071888812,-0.01714232681592044,0.0042654714602851085,0.0,0.0,0.0,39
33,DHR,8,3,5,0.375,0.6666666666666666,0.2,-0.004880565184038444,0.008597489436939798,-0.01296739795662539,0.0,0.0,0.0,8
34,INTC,49,25,24,0.5102040816326531,0.6,0.4166666666666667,0.003344455277992953,0.004639027084703426,0.0019959429793362086,0.0,0.0,0.0,39
35,INTU,9,8,1,0.3333333333333333,0.375,0.0,-0.0027938795270584884,-0.0030989604556513808,-0.00035323209831535177,0.0,0.0,0.0,8
36,WFC,6,6,0,0.6666666666666666,0.6666666666666666,,0.018325080831996163,0.018325080831996163,,0.0,0.0,,6
37,TXN,1,1,0,1.0,1.0,,0.028493506196514497,0.028493506196514497,,0.0,0.0,,1
38,COP,5,4,1,0.6,0.5,1.0,0.004230025916320074,0.0033359440255902656,0.007806353479239306,0.0,0.0,0.0,1
39,DIS,10,5,5,0.7,0.6,0.8,0.006433554427360376,0.001694338565125042,0.01117277028959571,0.0,0.0,0.0,6
40,CAT,3,1,2,1.0,1.0,1.0,0.035303195060891975,0.059595926670048004,0.02315682925631396,0.0,0.0,0.0,3
41,PM,2,1,1,0.0,0.0,0.0,-0.024904897014882278,-0.0037116310580302403,-0.046098162971734316,0.0,0.0,0.0,2
42,VZ,9,5,4,0.7777777777777778,0.8,0.75,0.010745387647932127,0.00890824672325619,0.013041813803777044,0.0,0.0,0.0,9
43,LOW,2,1,1,0.5,1.0,0.0,0.0017009135174925454,0.014397080042793426,-0.010995253007808336,0.0,0.0,0.0,2
44,T,19,5,14,0.3684210526315789,0.4,0.35714285714285715,-0.013880645883361511,-0.005150330930825201,-0.016998615509267342,0.0,0.0,0.0,15
45,BA,25,20,5,0.6,0.55,0.8,0.002874950853143607,-0.00099707056542477,0.01836303652741712,0.0,0.0,0.0,24
46,AMGN,12,3,9,0.16666666666666666,0.0,0.2222222222222222,-0.016598368459946642,-0.01746136711870452,-0.016310702240360683,0.0,0.0,0.0,9
47,MDT,5,2,3,0.8,1.0,0.6666666666666666,0.021090882626250584,0.04399811250322354,0.005819396041601951,0.0,0.0,0.0,4
48,MMM,26,7,19,0.46153846153846156,0.42857142857142855,0.47368421052631576,-0.004598155807131915,-0.0063136408021630345,-0.003966135019488867,0.0,0.0,0.0,25
49,IBM,2,1,1,0.5,0.0,1.0,0.01799234503629523,-0.004557153127172502,0.040541843199762964,0.0,0.0,0.0,2
50,UNP,10,3,7,0.7,0.3333333333333333,0.8571428571428571,0.011811770826804768,4.871879855506781e-05,0.01685307883891178,0.0,0.0,0.0,9
51,PYPL,20,13,7,0.65,0.5384615384615384,0.8571428571428571,0.003185865565428287,-0.012915054170971647,0.03308757364731388,0.0,0.0,0.0,18
52,NKE,45,25,20,0.24444444444444444,0.32,0.15,-0.008605272250546069,-0.010655950293192096,-0.006041924697238538,0.0,0.0,0.0,39
53,MO,2,1,1,0.5,1.0,0.0,-0.027349981016770844,0.004730732493437957,-0.05943069452697965,0.0,0.0,0.0,1
54,UPS,10,10,0,0.4,0.4,,-0.0031651199447959065,-0.0031651199447959065,,0.0,0.0,,10
55,EMN,4,3,1,1.0,1.0,1.0,0.03194624991985942,0.034763028982674665,0.023495912731413698,0.0,0.0,0.0,1
